
Savona,25,"Dayton, OH",39.626197,-84.159461
Treasure Island,24,"Dayton, OH",39.692694,-84.218496
Bullwinkle's,23,"Dayton, OH",39.7588889,-84.1916667
Buckhorn Tavern,22,"Dayton, OH",39.7588889,-84.1916667
Dayton Racquet Club,21,"Dayton, OH",39.7588889,-84.1916667
La Piazza,20,"Dayton, OH",39.7588889,-84.1916667
C'est Tout,19,"Dayton, OH",39.7588889,-84.1916667
Coldwater Cafe,18,"Dayton, OH",39.7588889,-84.1916667
Jay's Seafood,17,"Dayton, OH",39.7588889,-84.1916667
Harrison's,16,"Dayton, OH",39.7588889,-84.1916667
Paragon Club,15,"Dayton, OH",39.7588889,-84.1916667
Carvers,14,"Dayton, OH",39.7588889,-84.1916667
Thai 9,13,"Dayton, OH",39.7588889,-84.1916667
Mamma Disalvo's,12,"Dayton, OH",39.7588889,-84.1916667
Coco's Bistro,11,"Dayton, OH",39.7588889,-84.1916667
Seasons Bistro,10,"Dayton, OH",39.7588889,-84.1916667
Pine Club,9,"Dayton, OH",39.7588889,-84.1916667
Oakwood Club,8,"Dayton, OH",39.7588889,-84.1916667
Rue Dumaine,7,"Dayton, OH",39.7588889,-84.1916667
El Meson,6,"Dayton, OH",39.7588889,-84.1916667
The Winds Cafe,5,"Dayton, OH",39.7588889,-84.1916667
Meadowlark,4,"Dayton, OH",39.7588889,-84.1916667
Hawthorn Grill,3,"Dayton, OH",39.7588889,-84.1916667
Caroline,2,"Dayton, OH",39.7588889,-84.1916667
Roost Modern Italian,1,"Dayton, OH",39.7588889,-84.1916667
Le Bernadin,1,"New York City, NY",40.7834345,-73.9662495
Bouley,2,"New York City, NY",40.7834345,-73.9662495
Jean-Georges,3,"New York City, NY",40.7834345,-73.9662495
Gotham Bar & Grill,4,"New York City, NY",40.7834345,-73.9662495
Eleven Madison Park,5,"New York City, NY",40.7834345,-73.9662495
Daniel,6,"New York City, NY",40.7834345,-73.9662495
Susha Yasuda,7,"New York City, NY",40.7834345,-73.9662495
Gramercy Tavern,8,"New York City, NY",40.7834345,-73.9662495
Peter Luger Steak House,9,"New York City, NY",40.7834345,-73.9662495
La Grenouille,10,"New York City, NY",40.7834345,-73.9662495
Annisa,11,"New York City, NY",40.7834345,-73.9662495
Sea Fire Grill,12,"New York City, NY",40.7834345,-73.9662495
Per Se,13,"New York City, NY",40.7834345,-73.9662495
Marea,14,"New York City, NY",40.7834345,-73.9662495
Benjamin Steakhouse,15,"New York City, NY",40.7834345,-73.9662495
Tocqueville,16,"New York City, NY",40.7834345,-73.9662495
Nobu,17,"New York City, NY",40.7834345,-73.9662495
Union Square Cafe,18,"New York City, NY",40.7834345,-73.9662495
Mas (farmhouse),19,"New York City, NY",40.7834345,-73.9662495
Nougatine At Jean-Georges,20,"New York City, NY",40.7834345,-73.9662495
The Little Owl,21,"New York City, NY",40.7834345,-73.9662495
Pearl Oyster Bar,22,"New York City, NY",40.7834345,-73.9662495
Estiatrio Milos,23,"New York City, NY",40.7834345,-73.9662495
Dovetail,24,"New York City, NY",40.7834345,-73.9662495
Aquagrill,25,"New York City, NY",40.7834345,-73.9662495
